Time,Consuming Time(ms),Producing Time(ms),Response time(ms),Message Size(bytes),CPU Utilization(%),Memory Consumption(gb),Disk Free Space(gb),Brick Space(mb),Kafka Total Space(mb),Topic Space(mb),Total Time(s)
7:44:59,5.593961,9.394784,1017.573458,16416,1.26,1.038,4.9,67,388,0.5,1
7:44:05,12.63743,9.642815,99.757124,82080,1.21,1.037,4.9,67,388,0.77,6
7:44:09,11.346825,9.037703,158.684713,62208,1.31,1.037,4.9,67,388,0.104,10
7:44:13,12.435897,9.201101,235.483638,65664,1.23,1.037,4.9,67,388,0.131,14
7:44:17,13.083848,9.64928,304.269384,65664,1.51,1.037,4.9,68,388,0.158,18
7:44:21,12.737823,9.472176,371.734666,65664,1.38,1.037,4.9,68,388,0.185,22
7:44:25,13.827678,9.997128,462.737482,69120,1.23,1.037,4.9,68,388,0.212,26
7:44:29,13.552246,9.140911,507.284671,65664,1.37,1.037,4.9,68,388,0.247,30
7:44:33,13.169252,9.171082,575.210509,65664,1.42,1.037,4.9,68,388,0.274,34
7:44:36,13.293931,9.930653,627.121191,49248,1.16,1.037,4.9,68,388,0.301,37
7:44:40,13.491653,9.990259,695.1715,65664,1.16,1.037,4.9,68,388,0.328,41
7:44:44,14.305748,9.868229,763.031879,65664,1.33,1.038,4.9,68,388,0.355,45
7:44:48,5.044106,9.634492,830.92301,65664,1.42,1.038,4.9,68,388,0.382,49
7:44:52,5.685767,9.434658,898.705162,65664,1.46,1.038,4.9,68,388,0.409,53
7:44:56,5.857677,9.682528,966.933721,65664,1.17,1.037,4.9,68,389,0.436,57
7:45:00,6.140758,9.77189,1035.055436,0,1.38,1.037,4.9,68,389,0.463,57
7:45:04,6.284215,9.879817,1102.935046,65664,1.35,1.038,4.9,68,389,0.49,61
7:45:08,5.917339,9.696943,1170.652121,65664,1.27,1.037,4.9,68,389,0.517,65
7:45:12,6.577207,9.777549,1238.650358,65664,1.28,1.038,4.9,68,389,0.543,69
7:45:16,6.773555,9.568083,1306.855822,65664,1.16,1.038,4.9,68,389,0.57,73
7:45:20,6.936692,9.852026,1375.041657,65664,1.47,1.037,4.9,68,389,0.597,77
7:45:24,6.635344,9.207503,1442.633948,65664,1.31,1.038,4.9,68,389,0.624,81
7:45:28,7.299994,9.363488,1510.335595,65664,1.27,1.037,4.9,68,389,0.65,85
7:45:31,6.8995,9.539141,1561.871858,49248,1.12,1.037,4.9,68,389,0.677,88
7:45:35,7.092725,9.567602,1629.824015,65664,1.42,1.037,4.9,68,389,0.704,92
7:45:39,6.615034,8.937374,1608.198708,62208,1.31,1.037,4.9,68,389,0.73,96
7:45:43,7.40193,9.413589,1765.106208,65664,1.38,1.037,4.9,68,389,0.758,100
7:45:47,7.595251,9.40963,1833.236677,65664,1.35,1.037,4.9,68,389,0.784,104
7:45:51,7.769033,9.648167,1901.403845,65664,1.18,1.037,4.9,69,389,0.811,108
7:45:55,8.434796,9.406257,1969.036411,65664,1.36,1.037,4.9,69,389,0.838,112
7:45:59,8.628655,9.655143,2037.498432,65664,1.26,1.037,4.9,69,389,0.865,116
7:46:03,8.335375,9.961874,2105.912632,49248,1.26,1.038,4.9,69,389,0.892,119
7:46:07,9.210788,10.01339,2287.899768,69120,1.3,1.037,4.9,69,389,0.919,123
7:46:11,8.723373,9.301975,2241.544314,65664,1.3,1.037,4.9,69,389,0.946,127
7:46:15,10.090649,10.182996,2431.126143,69120,1.29,1.038,4.9,69,389,0.973,131
7:46:18,9.489478,9.248782,2360.313109,49248,1.25,1.038,4.9,69,389,1,134
7:46:22,9.011621,9.230848,2301.131003,62208,1.2,1.037,4.9,69,389,1.1,138
7:46:26,9.933276,9.457612,2496.851118,65664,1.38,1.038,4.9,69,389,1.1,142
7:46:30,10.064909,9.915364,2565.043261,65664,1.98,1.037,4.9,69,389,1.1,146
7:46:34,9.706359,9.235544,2632.728349,65664,1.33,1.037,4.9,69,389,1.1,150
7:46:38,10.359224,9.383486,2700.496144,65664,1.4,1.037,4.9,69,389,1.2,154
7:46:42,9.790438,9.149882,2623.450167,62208,1.41,1.037,4.9,69,389,1.2,158
7:46:46,10.309713,9.211543,2836.788944,65664,1.17,1.037,4.9,69,389,1.2,162
7:46:50,9.633918,9.30581,2752.596261,62208,1.36,1.037,4.9,69,389,1.2,166
7:46:54,11.084449,9.896701,2973.496683,65664,1.24,1.038,4.9,69,389,1.3,170
7:46:58,10.691536,9.776459,3040.830978,65664,1.29,1.038,4.9,69,389,1.3,174
7:47:02,10.902596,9.84499,3109.085865,32832,1.3,1.038,4.9,69,389,1.3,176
7:47:06,11.075988,9.898134,3177.315952,65664,1.2,1.038,4.9,69,389,1.3,180
7:47:10,11.224229,9.175802,3244.716781,65664,1.43,1.038,4.9,69,389,1.4,184
7:47:14,11.359606,9.893295,3313.823931,65664,1.37,1.038,4.9,69,389,1.4,188
7:47:17,11.096357,8.922973,3186.801332,46656,1.25,1.038,4.9,69,389,1.4,191
7:47:21,12.142605,9.612491,3432.800474,65664,1.43,1.037,4.9,69,389,1.4,195
7:47:25,11.456101,9.253389,3316.314069,62208,1.26,1.037,4.9,69,390,1.5,199
7:47:29,12.028012,9.535334,3568.789992,65664,1.29,1.037,4.9,69,390,1.5,203
7:47:33,12.193859,9.178801,3636.19191,65664,1.36,1.037,4.9,69,390,1.5,207
7:47:37,12.348449,9.848574,3704.91712,65664,1.3,1.037,4.9,69,390,1.6,211
7:47:41,12.550541,9.411206,3772.173839,65664,1.19,1.038,4.9,69,390,1.6,215
7:47:45,14.192638,10.105274,4042.756873,69120,1.33,1.038,4.9,69,390,1.6,219
7:47:49,12.919482,9.8435,3908.564399,65664,1.27,1.038,4.9,69,390,1.6,223
7:47:53,13.617755,9.182231,3976.331408,65664,1.25,1.038,4.9,69,390,1.7,227
7:47:57,13.289832,9.956365,4044.829909,65664,1.4,1.037,4.9,69,390,1.7,231
7:48:01,13.490508,9.233567,4111.767903,16416,1.41,1.038,4.9,69,390,1.7,232
7:48:04,14.587509,10.084059,4382.8122,51840,1.42,1.038,4.9,69,390,1.7,235
7:48:08,13.763968,9.589759,4231.339604,65664,1.3,1.038,4.9,69,390,1.8,239
7:48:12,14.400684,10.064552,4299.984151,65664,1.29,1.038,4.9,69,390,1.8,243
7:48:16,4.556934,9.178706,4137.479307,62208,1.35,1.038,4.9,69,390,1.8,247
7:48:20,4.708924,9.518977,4435.340898,65664,1.34,1.038,4.9,71,390,1.8,251
7:48:24,4.859613,8.93059,4266.837846,62208,1.28,1.038,4.9,71,390,1.9,255
7:48:28,5.065848,9.216674,4331.563416,62208,1.52,1.038,4.9,71,390,1.9,259
7:48:32,5.708062,9.583762,4395.404235,62208,1.46,1.038,4.9,71,390,1.9,263
7:48:36,5.469723,9.258709,4707.058191,65664,1.2,1.038,4.9,71,390,1.9,267
7:48:40,5.63688,9.319678,4775.077331,65664,1.29,1.038,4.9,71,390,2,271
7:48:44,6.323318,10.037421,4843.779967,65664,1.35,1.038,4.9,71,390,2,275
7:48:48,5.990951,9.118695,4653.308758,62208,1.33,1.038,4.9,71,390,2,279
7:48:52,6.749533,9.625795,4979.463841,65664,1.35,1.038,4.9,71,390,2.1,283
