CPU_Utilization Memory_Consumption Current_Time Kafka_Disk_Usage(mb) Topic_Disk_Usage(mb)
0.58 538.8 17:16:16 393 2.3
0.37 539.1 17:16:19 393 2.3
0.44 538.9 17:16:22 393 2.3
1.47 538.9 17:16:25 393 2.3
1.91 539.1 17:16:29 393 2.3
1.35 538.8 17:16:32 393 2.3
1.38 539 17:16:35 393 2.3
1.29 538.9 17:16:38 393 2.3
2.14 538.7 17:16:42 393 2.3
1.96 538.7 17:16:45 393 2.4
1.36 538.8 17:16:48 393 2.4
1.41 538.8 17:16:51 393 2.4
1.50 538.8 17:16:54 393 2.4
1.28 538.5 17:16:58 393 2.4
1.40 538.5 17:17:01 393 2.4
1.48 538.6 17:17:04 393 2.4
4.62 538.4 17:17:07 393 2.4
1.66 538.7 17:17:11 393 2.4
1.38 538.5 17:17:14 393 2.4
16.67 538.6 17:17:17 393 2.4
1.45 538.6 17:17:20 393 2.4
1.24 538.7 17:17:23 393 2.5
1.36 538.8 17:17:27 393 2.5
1.70 538.7 17:17:30 393 2.5
1.26 538.8 17:17:33 393 2.5
1.50 539.1 17:17:36 393 2.5
1.88 539 17:17:40 393 2.5
1.41 538.9 17:17:43 393 2.5
1.80 539 17:17:46 393 2.5
1.62 539.1 17:17:49 393 2.5
1.58 538.8 17:17:53 393 2.5
1.39 538.9 17:17:56 393 2.5
1.54 538.6 17:17:59 393 2.5
1.36 538.9 17:18:02 393 2.5
1.45 538.9 17:18:06 393 2.6
1.59 539.2 17:18:09 393 2.6
1.49 539.3 17:18:12 393 2.6
1.42 539.1 17:18:15 393 2.6
1.64 539.2 17:18:19 393 2.6
1.41 539.4 17:18:22 393 2.6
1.47 539.4 17:18:25 393 2.6
1.66 539.2 17:18:28 393 2.6
1.35 539.1 17:18:32 393 2.6
1.68 539 17:18:35 393 2.6
1.26 539.2 17:18:38 394 2.6
1.56 539 17:18:41 394 2.7
2.43 539.1 17:18:45 394 2.7
1.24 539.1 17:18:48 394 2.7
1.47 539.1 17:18:51 394 2.7
1.47 539.3 17:18:54 394 2.7
1.36 539.5 17:18:57 394 2.7
1.59 539.2 17:19:01 394 2.7
1.46 539.3 17:19:04 394 2.7
1.25 539.3 17:19:07 394 2.7
