Time,Consuming time/s,Producing time/s,Response time,Message size/bytes,Ingestion rate/s,CPU utilization/MB,Memory consumption/MB,Disk usage/MB,Topic space/MB,Total time/s
16:08:04,1.096948,1.383092,0.013567,1728,2,1.27,0.546,396,5.5,1
16:08:06,2.584729,2.303699,0.033683,8640,5,1.2,0.546,396,5.5,3
16:08:09,1.444738,2.023639,0.023268,10368,4,1.38,0.546,396,5.6,6
16:08:13,3.060517,2.781835,0.031122,17280,5,10.19,0.546,396,5.6,10
16:08:16,3.009762,2.576085,0.189402,12960,5,1.25,0.546,396,5.6,13
16:08:19,2.613604,2.341502,0.026765,12960,5,2.57,0.546,396,5.6,16
16:08:23,2.618202,2.338179,0.035634,17280,5,1.21,0.546,396,5.6,20
16:08:26,2.474445,2.159064,0.070145,12960,5,1.08,0.546,396,5.6,23
16:08:29,3.004363,2.722829,0.035834,12960,5,1.31,0.546,396,5.6,26
16:08:32,2.817318,2.535139,0.034397,12960,5,1.2,0.546,396,5.6,29
16:08:35,2.456128,2.178233,0.031249,12960,5,1.24,0.546,396,5.6,32
16:08:39,2.460909,2.120957,0.092978,17280,5,1.34,0.546,396,5.6,36
16:08:43,2.202335,2.925346,0.029712,17280,5,1.26,0.546,396,5.6,40
16:08:46,1.980576,2.570522,0.164688,12960,5,2.99,0.546,396,5.6,43
16:08:50,2.988754,2.710231,0.032015,17280,5,1.42,0.546,396,5.6,47
16:08:54,2.297704,1.840124,0.061173,13824,4,2.39,0.546,396,5.6,51
16:08:58,2.289888,2.917492,0.124877,17280,5,1.98,0.546,396,5.6,55
16:09:02,1.32796,1.886911,0.042878,13824,4,1.66,0.546,397,5.6,59
16:09:06,2.575818,2.231849,0.097433,17280,5,6.37,0.546,397,5.7,63
16:09:11,2.222453,2.785495,0.192307,21600,5,1.44,0.546,397,5.7,68
16:09:14,2.74053,2.400783,0.093621,12960,5,1.43,0.546,397,5.7,71
16:09:18,2.821086,2.544362,0.031672,17280,5,1.39,0.546,397,5.7,75
16:09:21,2.676191,2.396839,0.03403,12960,5,1.29,0.546,397,5.7,78
16:09:24,2.709358,2.438018,0.029326,12960,5,1.33,0.546,397,5.7,81
16:09:28,2.605667,2.326019,0.038637,17280,5,1.35,0.546,397,5.7,85
16:09:31,1.357474,1.937856,0.021517,10368,4,1.22,0.546,397,5.7,88
16:09:34,2.73141,2.456988,0.027269,12960,5,1.22,0.546,397,5.7,91
16:09:37,1.370513,1.942948,0.029506,10368,4,1.07,0.546,397,5.7,94
16:09:41,2.141836,2.844285,0.053637,17280,5,0.95,0.546,397,5.7,98
16:09:44,2.884411,2.610154,0.031936,12960,5,1.28,0.546,397,5.7,101
16:09:47,2.538382,2.266138,0.024739,12960,5,0.97,0.546,397,5.7,104
16:09:50,1.430045,2.003135,0.028971,10368,4,1.12,0.546,397,5.7,107
16:09:54,1.383901,1.968543,0.020583,13824,4,1.3,0.546,397,5.7,111
16:09:57,2.827952,2.547365,0.034809,12960,5,1.13,0.546,397,5.7,114
16:10:00,2.446619,2.17888,0.026235,12960,5,1.15,0.546,397,5.7,117
16:10:03,1.461222,2.000818,0.065561,10368,4,1.36,0.546,397,5.7,120
16:10:07,3.062575,2.7675,0.047146,17280,5,1.09,0.546,397,5.8,124
16:10:10,2.662856,2.340166,0.075399,12960,5,1.09,0.546,397,5.8,127
16:10:13,1.409033,1.969156,0.042073,10368,4,1.55,0.546,397,5.8,130
16:10:17,2.960516,2.678616,0.034088,17280,5,1.18,0.546,397,5.8,134
16:10:20,2.714324,2.434793,0.034355,12960,5,1.01,0.546,397,5.8,137
16:10:23,2.373877,2.094366,0.032831,12960,5,1.26,0.546,397,5.8,140
16:10:26,1.427302,2.006454,0.041172,10368,4,1.08,0.546,397,5.8,143
16:10:30,2.187865,2.913239,0.027298,17280,5,0.94,0.546,397,5.8,147
16:10:33,2.810147,2.531706,0.030869,12960,5,1.16,0.546,397,5.8,150
16:10:36,2.777878,2.311233,0.219967,12960,5,1.17,0.546,397,5.8,153
16:10:39,2.686586,2.408149,0.033896,12960,5,1.15,0.546,397,5.8,156
16:10:43,2.80296,2.52515,0.034713,17280,5,1.17,0.546,397,5.8,160
16:10:46,2.637376,2.35289,0.037454,12960,5,0.98,0.546,397,5.8,163
16:10:49,2.591609,2.279831,0.067664,12960,5,1.22,0.546,397,5.8,166
16:10:52,2.362583,2.073991,0.040694,12960,5,1.24,0.546,397,5.8,169
16:10:56,1.418078,1.974238,0.046576,13824,4,1.23,0.546,397,5.8,173
16:10:59,3.038759,2.755018,0.036939,12960,5,2.66,0.546,397,5.8,176
16:11:02,3.020377,2.643217,0.131396,12960,5,1.17,0.546,397,5.8,179
16:11:05,2.548662,2.224503,0.076552,12960,5,1.08,0.546,397,5.9,182
16:11:09,2.507442,2.195948,0.066049,17280,5,1.38,0.546,397,5.9,186
16:11:12,1.531354,2.105106,0.028056,10368,4,1.17,0.546,397,5.9,189
16:11:15,3.070932,2.792564,0.030859,12960,5,1.44,0.546,397,5.9,192
16:11:18,2.684568,2.393028,0.046131,12960,5,1.34,0.546,397,5.9,195
16:11:22,2.375589,2.100776,0.02905,17280,5,1.11,0.546,397,5.9,199
16:11:25,3.036044,2.763098,0.026397,12960,5,1.08,0.546,397,5.9,202
16:11:28,2.806832,2.533645,0.027972,12960,5,1.29,0.546,397,5.9,205
16:11:31,1.52666,2.097361,0.032585,10368,4,1.01,0.546,397,5.9,208
16:11:35,1.390981,1.967543,0.025422,13824,4,1.09,0.546,397,5.9,212
16:11:38,2.894568,2.620287,0.02823,12960,5,1.19,0.546,397,5.9,215
16:11:41,2.540233,2.265299,0.027527,12960,5,0.96,0.546,397,5.9,218
16:11:44,1.481226,2.064407,0.021256,10368,4,1.19,0.546,397,5.9,221
16:11:47,2.948153,2.662785,0.040724,12960,5,1.05,0.546,397,5.9,224
16:11:51,2.807047,2.533431,0.027925,17280,5,1.08,0.546,397,5.9,228
16:11:54,1.453299,2.020523,0.034761,10368,4,1.24,0.546,397,5.9,231
16:11:57,2.87283,2.601022,0.026698,12960,5,1.25,0.546,397,5.9,234
16:12:00,2.420819,2.15136,0.025608,12960,5,1.12,0.546,397,5.9,237
16:12:04,1.432969,2.014137,0.023179,13824,4,1.32,0.546,397,6,241
16:12:07,2.728708,2.457888,0.026677,12960,5,1.11,0.546,397,6,244
16:12:10,1.553186,2.09543,0.061712,10368,4,1.13,0.546,397,6,247
16:12:13,2.897911,2.598617,0.05287,12960,5,1.37,0.546,397,6,250
16:12:17,2.855171,2.550487,0.059902,17280,5,1.19,0.546,397,6,254
16:12:20,1.678718,2.214524,0.068135,10368,4,1.15,0.546,397,6,257
16:12:23,2.14536,2.831488,0.069574,12960,5,1.24,0.546,397,6,260
16:12:26,2.904582,2.60087,0.05733,12960,5,1.13,0.546,397,6,263
16:12:30,2.910669,2.582001,0.082798,17280,5,1.11,0.546,397,6,267
16:12:33,2.53458,2.231982,0.059302,12960,5,1.27,0.546,397,6,270
16:12:36,2.210981,2.858413,0.104761,12960,5,1.07,0.546,397,6,273
16:12:40,2.887686,2.613122,0.02806,17280,5,1.09,0.546,397,6,277
16:12:43,2.481042,2.161159,0.07865,12960,5,1.3,0.546,397,6,280
16:12:46,2.963498,2.69478,0.026817,12960,5,1.16,0.546,397,6,283
16:12:49,2.737695,2.435578,0.05765,12960,5,1.07,0.546,397,6,286
16:12:53,2.783987,2.510051,0.028404,17280,5,1.28,0.546,397,6,290
16:12:56,1.614283,2.075019,0.142931,10368,4,1.11,0.546,397,6,293
16:12:59,2.143245,2.867085,0.031085,12960,5,1.39,0.546,397,6,296
16:13:02,2.758448,2.478362,0.032453,12960,5,1.56,0.546,397,6.1,299
16:13:06,2.833043,2.557667,0.029253,17280,5,1.03,0.546,397,6.1,303
16:13:09,2.778906,2.506473,0.027505,12960,5,1.25,0.546,397,6.1,306
16:13:12,2.582846,2.299738,0.036329,12960,5,1.33,0.546,397,6.1,309
16:13:15,1.460551,1.985139,0.07823,10368,4,1.38,0.546,397,6.1,312
16:13:19,3.081477,2.809651,0.029193,17280,5,1.39,0.546,397,6.1,316
16:13:22,2.897785,2.622937,0.029556,12960,5,1.25,0.546,397,6.1,319
16:13:25,2.872637,2.570007,0.058902,12960,5,1.19,0.546,397,6.1,322
16:13:28,2.405912,2.136953,0.024853,12960,5,1.54,0.546,397,6.1,325
16:13:32,1.451772,2.016397,0.039966,13824,4,1.18,0.546,397,6.1,329
16:13:35,2.096187,2.794148,0.054982,12960,5,1.12,0.546,397,6.1,332
16:13:38,1.978189,2.634675,0.097246,12960,5,1.23,0.546,397,6.1,335
16:13:41,2.806309,2.537499,0.024551,12960,5,1.18,0.546,397,6.1,338
16:13:45,2.863374,2.580514,0.035194,17280,5,1.25,0.546,397,6.1,342
16:13:48,2.528971,2.243263,0.039215,12960,5,1.18,0.546,397,6.1,345
16:13:51,1.476279,2.004704,0.073606,10368,4,1.04,0.546,397,6.1,348
16:13:55,1.392085,1.975113,0.01993,13824,4,1.08,0.546,397,6.1,352
16:13:58,3.150788,2.875458,0.027823,12960,5,1.29,0.546,397,6.1,355
16:14:01,2.902198,2.465107,0.190536,12960,5,1.05,0.546,397,6.2,358
16:14:04,2.349155,2.071946,0.029522,12960,5,1.12,0.546,397,6.2,361
16:14:07,3.037592,2.762369,0.029863,12960,5,1.04,0.546,397,6.2,364
16:14:11,2.748873,2.467811,0.033559,17280,5,1.07,0.546,397,6.2,368
16:14:14,2.583163,2.242127,0.09569,12960,5,1.25,0.546,397,6.2,371
16:14:17,1.457121,2.034048,0.026632,10368,4,1.07,0.546,397,6.2,374
16:14:20,1.33989,1.916927,0.024883,10368,4,1.03,0.546,397,6.2,377
16:14:24,1.361805,1.937996,0.02569,13824,4,1.17,0.546,397,6.2,381
16:14:27,2.986301,2.66215,0.07763,12960,5,1.15,0.546,397,6.2,384
16:14:30,2.616773,2.341577,0.028354,12960,5,1.19,0.546,397,6.2,387
16:14:33,2.403611,2.134117,0.027139,12960,5,1.31,0.546,397,6.2,390
16:14:37,1.518443,2.100508,0.01993,13824,4,1.05,0.546,397,6.2,394
16:14:40,2.164943,2.882153,0.036237,12960,5,1.89,0.546,397,6.2,397
16:14:43,3.032545,2.748086,0.03685,12960,5,1.34,0.546,397,6.2,400
16:14:46,2.866191,2.520024,0.110467,12960,5,1.06,0.546,397,6.2,403
16:14:50,2.83586,2.556311,0.03444,17280,5,1.01,0.546,397,6.2,407
16:14:53,2.565179,2.287734,0.032392,12960,5,1.26,0.546,397,6.2,410
16:14:56,1.321961,1.899175,0.025517,10368,4,1.06,0.546,397,6.2,413
16:14:59,3.012492,2.719699,0.049634,12960,5,1.09,0.546,397,6.2,416
16:15:03,2.773044,2.498907,0.026414,17280,5,1.14,0.546,397,6.3,420
16:15:06,2.388915,2.112782,0.029766,12960,5,1.06,0.546,397,6.3,423
16:15:09,3.02619,2.744651,0.03379,12960,5,1.15,0.546,397,6.3,426
16:15:12,2.70484,2.430558,0.026665,12960,5,1.28,0.546,397,6.3,429
16:15:16,2.6489,2.280508,0.123576,17280,5,1.01,0.546,397,6.3,433
16:15:19,2.211574,2.839207,0.124639,12960,5,1.23,0.546,397,6.3,436
16:15:22,2.708846,2.4321,0.031186,12960,5,1.14,0.546,397,6.3,439
16:15:25,2.463236,2.186051,0.032329,12960,5,0.98,0.546,397,6.3,442
16:15:29,2.16551,2.881241,0.038988,17280,5,1.16,0.546,397,6.3,446
16:15:32,2.731542,2.459869,0.029507,12960,5,1.05,0.546,397,6.3,449
16:15:35,2.745285,2.467249,0.033247,12960,5,1.06,0.546,397,6.3,452
16:15:38,2.512603,2.224332,0.040472,12960,5,0.98,0.546,397,6.3,455
16:15:42,2.814341,2.538268,0.030025,17280,5,1.09,0.546,397,6.3,459
16:15:45,1.477352,2.056507,0.025842,10368,4,1.18,0.546,397,6.3,462
16:15:48,1.408527,1.987451,0.023144,10368,4,1.2,0.546,397,6.3,465
16:15:51,2.285981,1.828233,0.057428,10368,4,0.92,0.546,397,6.3,468
16:15:55,2.175671,2.903965,0.030462,17280,5,1.05,0.546,397,6.3,472
16:15:58,2.761428,2.481208,0.035911,12960,5,1.09,0.546,397,6.3,475
16:16:01,1.532194,2.11711,0.022865,10368,4,1.08,0.546,397,6.4,478
16:16:04,1.460644,2.082578,0.018297,10368,4,1.36,0.546,397,6.4,481
16:16:08,2.517784,2.240931,0.032663,17280,5,1.07,0.546,397,6.4,485
16:16:11,1.447657,2.029231,0.022655,10368,4,1.34,0.546,397,6.4,488
16:16:14,2.916931,2.639761,0.031795,12960,5,1.28,0.546,397,6.4,491
16:16:17,2.443212,2.174021,0.026704,12960,5,1.13,0.546,397,6.4,494
16:16:20,2.845789,2.560721,0.03874,12960,5,1.2,0.546,397,6.4,497
16:16:24,2.805518,2.525168,0.033874,17280,5,1.27,0.546,397,6.4,501
16:16:27,1.437554,2.019817,0.020694,10368,4,1.08,0.546,397,6.4,504
16:16:30,2.867448,2.59238,0.029912,12960,5,0.98,0.546,397,6.4,507
16:16:33,2.614896,2.335584,0.031611,12960,5,1.24,0.546,397,6.4,510
16:16:37,2.393567,2.121655,0.02672,17280,5,1.15,0.546,397,6.4,514
16:16:40,2.856741,2.581373,0.027497,12960,5,1.04,0.546,397,6.4,517
16:16:43,2.42022,2.137418,0.0373,12960,5,1.24,0.546,397,6.4,520
16:16:46,1.309753,1.890048,0.022595,10368,4,1.14,0.546,397,6.4,523
16:16:50,1.418957,2.006404,0.020349,13824,4,1.08,0.546,397,6.4,527
16:16:53,3.001815,2.726888,0.028506,12960,5,1.23,0.546,397,6.4,530
16:16:56,2.749217,2.476725,0.026101,12960,5,1,0.546,397,6.4,533
16:16:59,1.468345,2.048531,0.021729,10368,4,1.31,0.546,397,6.5,536
16:17:02,2.925879,2.651784,0.027524,12960,5,1.2,0.546,397,6.5,539
16:17:06,2.667817,2.392992,0.028002,17280,5,1.23,0.546,397,6.5,543
16:17:09,1.533348,2.107251,0.02806,10368,4,2.06,0.546,397,6.5,546
16:17:12,3.027187,2.750816,0.029529,12960,5,1.47,0.546,397,6.5,549
16:17:15,2.638829,2.368543,0.025758,12960,5,1.18,0.546,397,6.5,552
16:17:19,2.438784,2.16191,0.029352,17280,5,1.5,0.546,397,6.5,556
16:17:22,2.144806,2.826336,0.070789,12960,5,1.15,0.546,397,6.5,559
16:17:25,2.628366,2.355011,0.025634,12960,5,1.19,0.546,397,6.5,562
16:17:28,2.532103,2.239182,0.047241,12960,5,1.42,0.546,397,6.5,565
16:17:32,2.634847,2.355971,0.033322,17280,5,1.11,0.546,397,6.5,569
16:17:35,2.606801,2.332039,0.030175,12960,5,0.97,0.546,397,6.5,572
16:17:38,2.824028,2.463363,0.117197,12960,5,1.21,0.546,397,6.5,575
16:17:41,2.584956,2.310954,0.028828,12960,5,1.03,0.546,397,6.5,578
