Time,Consuming Time(ms),Producing Time(ms),Response time(ms),Message Size(bytes),CPU Utilization(%),Memory Consumption(gb),Disk Free Space(gb),Brick Space,Kafka Total Space(mb),Topic Space(mb),Total Time (sec)
19:15:36,5.862255,9.205329,2.777442,12960,1.28,1.032,4.9,68,388,0.035,1
19:15:40,8.773523,9.297435,69.12377,65664,1.44,1.032,4.9,68,388,0.062,5
19:15:44,8.653258,9.198052,136.971268,65664,1.45,1.032,4.9,68,388,0.089,9
19:15:48,8.801244,9.363995,205.134177,65664,1.39,1.032,4.9,68,388,0.115,13
19:15:51,8.909222,9.593223,256.347975,49248,1.45,1.032,4.9,68,388,0.142,16
19:15:55,9.584531,9.337676,323.921125,65664,1.55,1.031,4.9,68,388,0.168,20
19:15:59,8.475708,9.017407,371.486602,62208,1.31,1.032,4.9,67,388,0.194,24
19:16:03,9.905502,9.638883,460.272571,49248,1.38,1.032,4.9,68,388,0.222,27
19:16:07,9.651992,9.617359,527.851406,65664,1.45,1.032,4.9,68,388,0.256,31
19:16:11,10.364078,9.954372,596.265686,65664,1.19,1.032,4.9,68,388,0.284,35
19:16:15,10.512954,9.572093,663.387151,65664,1.28,1.031,4.9,68,388,0.31,39
19:16:19,9.377991,8.946975,692.872517,62208,1.55,1.031,4.9,68,388,0.337,43
19:16:23,9.61618,9.170046,757.530044,62208,1.18,1.032,4.9,68,388,0.364,47
19:16:27,11.886634,10.007663,913.22712,69120,1.24,1.032,4.9,68,388,0.391,51
19:16:31,10.845066,9.150934,886.633191,62208,1.23,1.032,4.9,68,388,0.418,55
19:16:35,10.496414,9.016583,950.258694,62208,1.37,1.031,4.9,68,388,0.44,59
19:16:39,11.125601,8.959757,1014.328627,62208,1.43,1.031,4.9,68,388,0.471,63
19:16:43,12.13388,9.907497,1139.09273,65664,1.35,1.032,4.9,68,388,0.498,67
19:16:47,11.790091,9.415045,1206.977691,65664,1.43,1.032,4.9,68,388,0.525,71
19:16:51,11.564235,9.091714,1207.815758,62208,1.36,1.032,4.9,69,388,0.551,75
19:16:54,12.562589,9.547523,1325.684995,49248,1.58,1.031,4.9,69,388,0.579,78
19:16:59,12.279749,9.849938,1411.501943,82080,1.42,1.031,4.9,69,388,0.607,83
19:17:03,11.486096,9.265431,1401.358713,46656,1.73,1.032,4.9,69,388,0.635,86
19:17:07,12.590522,9.298465,1547.139773,65664,9.57,1.031,4.9,69,388,0.664,90
19:17:11,12.717321,9.410847,1615.245707,65664,2.34,1.031,4.9,69,388,0.692,94
