Time,Consuming Time(ms),Producing Time(ms),Response time(ms),Message Size(bytes),CPU Utilization(%),Memory Consumption(gb),Disk Free Space(gb),Brick Space(mb),Kafka Total Space(mb),Topic Space(mb),Total Time(s)
1:12:25,5.098795,7.633897,1.436256,9504,1.39,1.035,4.9,67,388,0.05,1
1:12:31,10.332776,8.77629,95.095054,93312,1.42,1.035,4.9,68,388,0.076,7
1:12:35,10.499916,9.216855,159.366188,62208,1.28,1.035,4.9,68,388,0.103,11
1:12:39,12.026324,9.598399,236.537059,65664,1.38,1.035,4.9,68,388,0.13,15
1:12:43,11.675905,9.606909,304.132471,65664,1.34,1.035,4.9,68,388,0.156,19
1:12:47,11.808163,9.662939,372.388835,65664,1.3,1.035,4.9,68,388,0.183,23
1:12:51,11.998116,9.969884,440.432298,65664,1.32,1.035,4.9,68,388,0.21,27
1:12:55,12.67935,9.458714,507.982713,65664,1.4,1.034,4.9,68,388,0.245,31
1:12:59,11.99983,9.40599,546.158316,62208,1.49,1.034,4.9,68,388,0.271,35
1:13:03,12.574476,9.162697,643.677834,49248,1.36,1.035,4.9,68,388,0.297,38
1:13:06,12.2947,8.870053,658.042372,46656,1.59,1.035,4.9,68,388,0.324,41
1:13:10,12.446148,8.932956,722.301702,62208,1.94,1.035,4.9,68,388,0.35,45
1:13:14,13.079205,9.035448,786.417372,62208,1.5,1.035,4.9,68,388,0.376,49
1:13:18,13.745976,9.38358,898.523849,65664,1.36,1.035,4.9,68,388,0.403,53
1:13:22,4.508991,9.145783,915.711408,62208,2.09,1.035,4.9,68,388,0.43,57
1:13:26,4.686957,8.97683,980.20764,62208,1.61,1.035,4.9,68,388,0.458,61
1:13:30,5.436096,9.476752,1101.620087,65664,1.57,1.035,4.9,68,388,0.485,65
1:13:34,5.655364,9.432778,1169.61978,65664,1.88,1.035,4.9,68,388,0.512,69
1:13:38,5.891653,9.730275,1237.595984,65664,1.62,1.035,4.9,68,388,0.539,73
1:13:42,5.562751,9.39277,1236.799111,62208,1.24,1.035,4.9,68,388,0.565,77
1:13:46,5.728725,9.098813,1301.400407,62208,1.26,1.035,4.9,68,389,0.591,81
1:13:50,5.880692,9.357092,1365.867111,62208,1.29,1.035,4.9,68,389,0.618,85
1:13:54,6.609683,9.575988,1509.329128,65664,1.34,1.035,4.9,68,389,0.645,89
1:13:58,5.66697,9.073747,1494.511131,62208,1.31,1.035,4.9,68,389,0.671,93
1:14:02,6.91364,9.766441,1645.359989,32832,1.3,1.035,4.9,68,389,0.698,95
1:14:06,7.083218,9.177534,1712.497874,65664,1.26,1.035,4.9,68,389,0.724,99
1:14:10,6.802608,9.422939,1781.122969,65664,1.36,1.035,4.9,68,389,0.751,103
1:14:14,7.053304,9.565302,1849.331408,65664,1.52,1.035,4.9,68,389,0.777,107
1:14:18,7.059848,9.166391,1816.537108,62208,1.38,1.035,4.9,69,389,0.804,111
1:14:21,7.389045,9.397169,1967.788432,49248,16.45,1.035,4.9,69,389,0.831,114
1:14:25,8.057746,9.698781,2036.390329,65664,1.37,1.035,4.9,69,389,0.858,118
1:14:29,8.203458,9.721639,2104.505255,65664,1.3,1.035,4.9,69,389,0.885,122
1:14:33,8.346596,9.95623,2172.67223,65664,1.3,1.035,4.9,69,389,0.911,126
1:14:37,8.122335,9.795748,2240.40339,65664,1.48,1.035,4.9,69,389,0.938,130
1:14:41,7.641537,8.98901,2186.719399,62208,1.23,1.035,4.9,69,389,0.965,134
1:14:45,8.508428,9.557686,2375.443345,65664,1.54,1.035,4.9,69,389,0.993,138
1:14:49,8.642456,9.267171,2443.785011,65664,1.33,1.035,4.9,69,389,1.02,142
1:14:53,9.344905,9.260065,2511.134807,65664,1.31,1.035,4.9,69,389,1.1,146
1:14:57,9.498685,9.910831,2580.098337,65664,1.48,1.035,4.9,69,389,1.1,150
1:15:01,9.65667,9.429098,2647.505704,16416,1.26,1.035,4.9,69,389,1.1,151
1:15:05,9.916625,9.661565,2715.277107,65664,1.36,1.035,4.9,69,389,1.2,155
1:15:09,10.38046,10.108825,2929.99414,69120,1.4,1.035,4.9,69,389,1.2,159
1:15:12,9.4567,8.866534,2685.025245,46656,1.24,1.035,4.9,69,389,1.2,162
1:15:16,9.577727,9.090834,2749.507443,62208,1.3,1.035,4.9,69,389,1.2,166
1:15:20,10.556234,9.106551,2970.181864,65664,1.24,1.035,4.9,69,389,1.3,170
1:15:24,10.672988,9.446954,3038.072371,65664,1.23,1.035,4.9,69,389,1.3,174
1:15:28,10.338318,9.825041,3106.80488,65664,1.21,1.035,4.9,69,389,1.3,178
1:15:32,10.510827,9.890993,3174.932894,65664,1.26,1.035,4.9,69,389,1.3,182
1:15:36,10.67751,9.359397,3242.007398,65664,1.3,1.035,4.9,69,389,1.4,186
1:15:40,11.364695,9.659814,3310.605217,65664,1.33,1.035,4.9,69,389,1.4,190
1:15:44,11.035406,9.728865,3377.869736,65664,1.33,1.035,4.9,69,389,1.4,194
1:15:48,11.76269,9.537029,3445.591082,65664,1.35,1.035,4.9,69,389,1.4,198
1:15:52,11.419325,10.070888,3513.924032,65664,1.32,1.035,4.9,69,389,1.5,202
1:15:56,12.940629,9.938152,3769.789182,69120,1.39,1.035,4.9,69,389,1.5,206
1:15:59,11.71862,9.762911,3632.267265,968544,1.42,1.035,4.9,69,389,1.5,265
1:16:03,11.47844,9.113387,3505.465512,46656,1.45,1.035,4.9,69,389,1.6,268
1:16:07,12.513144,9.352563,3768.033678,65664,1.58,1.035,4.9,69,389,1.6,272
1:16:12,12.206147,9.737925,3853.33512,82080,1.84,1.035,4.9,69,389,1.6,277
1:16:16,12.409279,9.372411,3920.823654,65664,1.42,1.035,4.9,69,390,1.6,281
1:16:20,11.656031,9.114115,3779.138377,62208,1.77,1.035,4.9,69,390,1.7,285
1:16:24,12.73718,9.276195,4056.979045,65664,1.54,1.035,4.9,69,390,1.7,289
1:16:28,13.387978,9.744001,4125.817441,65664,1.61,1.035,4.9,69,390,1.7,293
1:16:32,12.583469,9.30851,3972.548926,62208,1.58,1.034,4.9,69,390,1.7,297
1:16:36,13.244664,10.020844,4261.702471,65664,1.26,1.035,4.9,69,390,1.8,301
1:16:40,12.953072,9.223567,4101.218832,62208,1.32,1.035,4.9,69,390,1.8,305
1:16:44,14.118735,9.678296,4397.008473,65664,1.4,1.035,4.9,69,390,1.8,309
1:16:48,13.752868,9.301766,4464.543242,65664,1.41,1.035,4.9,71,390,1.8,313
1:16:52,13.94654,9.993526,4532.859443,65664,1.36,1.035,4.9,71,390,1.9,317
1:16:55,4.603414,9.479741,4583.612787,49248,1.3,1.035,4.9,71,390,1.9,320
1:16:59,4.724717,9.429601,4651.12607,65664,1.48,1.035,4.9,71,390,1.9,324
1:17:03,4.921479,9.00929,4471.046991,46656,1.46,1.035,4.9,71,390,1.9,327
1:17:07,5.763712,9.931242,5038.736575,69120,1.36,1.035,4.9,71,390,2,331
1:17:11,5.859942,9.759944,4854.986461,65664,1.23,1.035,4.9,71,390,2,335
1:17:15,6.052762,9.738213,4922.967258,65664,1.41,1.035,4.9,71,390,2,339
1:17:19,5.784665,9.767219,4990.545844,65664,1.58,1.035,4.9,71,390,2.1,343
1:17:23,6.541583,9.377157,5058.346987,65664,1.39,1.035,4.9,71,390,2.1,347
1:17:27,6.670071,9.525697,5126.478924,65664,1.25,1.035,4.9,71,390,2.1,351
1:17:31,6.906223,9.515414,5194.571287,65664,1.11,1.035,4.9,71,390,2.1,355
1:17:35,7.147088,10.007972,5539.495108,69120,1.35,1.035,4.9,71,390,2.2,359
1:17:39,7.288043,9.811786,5330.919909,65664,1.2,1.035,4.9,71,390,2.2,363
1:17:42,7.489628,9.494778,5381.323674,49248,1.29,1.035,4.9,71,390,2.2,366
1:17:46,7.639965,9.327503,5449.042848,65664,1.28,1.034,4.9,71,390,2.2,370
1:17:50,7.291149,9.122644,5516.53138,65664,1.44,1.035,4.9,71,390,2.3,374
1:17:54,7.941153,9.877356,5584.828147,65664,1.34,1.035,4.9,71,390,2.3,378
1:17:58,8.104028,9.751634,5652.76748,65664,1.43,1.035,4.9,71,390,2.3,382
1:18:02,7.630383,9.1573,5419.65036,31104,1.25,1.035,4.9,71,390,2.3,384
1:18:06,7.970371,9.377711,5788.822619,65664,1.37,1.035,4.9,71,390,2.4,388
1:18:10,8.602675,9.240069,5856.401195,65664,1.26,1.035,4.9,71,390,2.4,392
1:18:14,8.781349,9.634814,5924.024781,65664,1.35,1.035,4.9,71,390,2.4,396
1:18:17,8.899206,9.885377,5974.934392,49248,1.27,1.035,4.9,71,390,2.5,399
1:18:21,8.363895,8.883804,5724.451738,62208,1.49,1.035,4.9,71,390,2.5,403
1:18:25,9.203397,9.811908,6110.870853,65664,1.25,1.035,4.9,71,390,2.5,407
1:18:29,8.957554,9.640186,6178.528476,65664,1.3,1.035,4.9,71,390,2.5,411
1:18:33,9.65796,9.32042,6245.930804,65664,1.33,1.035,4.9,71,390,2.6,415
1:18:37,9.81363,9.3006,6314.098633,65664,1.47,1.035,4.9,71,390,2.6,419
1:18:41,9.52759,9.498048,6381.984771,65664,1.23,1.035,4.9,71,391,2.6,423
1:18:45,9.716907,9.679265,6450.114658,65664,1.52,1.035,4.9,71,391,2.6,427
1:18:49,10.413797,9.889034,6518.753411,65664,1.6,1.035,4.9,71,391,2.7,431
1:18:53,10.098206,9.695843,6586.292309,65664,1.57,1.035,4.9,71,391,2.7,435
1:18:57,10.753502,9.200159,6653.669397,65664,1.33,1.035,4.9,71,391,2.7,439
1:19:01,9.658682,8.976181,6368.001979,15552,1.26,1.035,4.9,71,391,2.7,440
1:19:05,11.159983,10.015655,6789.957823,65664,1.31,1.035,4.9,71,391,2.8,444
1:19:09,11.316301,9.715411,6858.064893,65664,1.49,1.035,4.9,71,391,2.8,448
1:19:13,10.679121,9.091254,6561.013119,62208,1.3,1.035,4.9,71,391,2.8,452
1:19:17,12.038521,10.065844,7361.585329,69120,1.33,1.035,4.9,71,391,2.8,456
1:19:21,11.356786,9.09934,7061.013809,65664,1.37,1.035,4.9,71,391,2.9,460
1:19:25,11.537535,9.173943,7128.419173,65664,1.42,1.035,4.9,71,391,2.9,464
1:19:28,11.64365,9.537459,7179.225422,49248,1.24,1.035,4.9,71,391,2.9,467
1:19:32,12.302578,9.726435,7247.029761,65664,1.18,1.035,4.9,71,391,3,471
1:19:36,11.998244,9.975087,7314.377774,65664,1.26,1.035,4.9,71,391,3,475
