CPU_Utilization(%) Memory_Consumption(gb) Current_Time Disk_Space(mb) Brick_Space(mb) Kafka_Disk_Usage(mb) Topic_Disk_Usage(mb) Heketi_Space(mb)
1.39 1.035 01:12:25 4.9 67 388 .050 33
1.42 1.035 01:12:31 4.9 68 388 .076 33
1.28 1.035 01:12:35 4.9 68 388 .103 33
1.38 1.035 01:12:39 4.9 68 388 .130 33
1.34 1.035 01:12:43 4.9 68 388 .156 33
1.30 1.035 01:12:47 4.9 68 388 .183 33
1.32 1.035 01:12:51 4.9 68 388 .210 33
1.40 1.034 01:12:55 4.9 68 388 .245 33
1.49 1.034 01:12:59 4.9 68 388 .271 33
1.36 1.035 01:13:03 4.9 68 388 .297 33
1.59 1.035 01:13:06 4.9 68 388 .324 33
1.94 1.035 01:13:10 4.9 68 388 .350 33
1.50 1.035 01:13:14 4.9 68 388 .376 33
1.36 1.035 01:13:18 4.9 68 388 .403 33
2.09 1.035 01:13:22 4.9 68 388 .430 33
1.61 1.035 01:13:26 4.9 68 388 .458 33
1.57 1.035 01:13:30 4.9 68 388 .485 33
1.88 1.035 01:13:34 4.9 68 388 .512 33
1.62 1.035 01:13:38 4.9 68 388 .539 33
1.24 1.035 01:13:42 4.9 68 388 .565 33
1.26 1.035 01:13:46 4.9 68 389 .591 33
1.29 1.035 01:13:50 4.9 68 389 .618 33
1.34 1.035 01:13:54 4.9 68 389 .645 33
1.31 1.035 01:13:58 4.9 68 389 .671 33
1.30 1.035 01:14:02 4.9 68 389 .698 33
1.26 1.035 01:14:06 4.9 68 389 .724 33
1.36 1.035 01:14:10 4.9 68 389 .751 33
1.52 1.035 01:14:14 4.9 68 389 .777 33
1.38 1.035 01:14:18 4.9 69 389 .804 33
16.45 1.035 01:14:21 4.9 69 389 .831 33
1.37 1.035 01:14:25 4.9 69 389 .858 33
1.30 1.035 01:14:29 4.9 69 389 .885 33
1.30 1.035 01:14:33 4.9 69 389 .911 33
1.48 1.035 01:14:37 4.9 69 389 .938 33
1.23 1.035 01:14:41 4.9 69 389 .965 33
1.54 1.035 01:14:45 4.9 69 389 .993 33
1.33 1.035 01:14:49 4.9 69 389 1.02 33
1.31 1.035 01:14:53 4.9 69 389 1.1 33
1.48 1.035 01:14:57 4.9 69 389 1.1 33
1.26 1.035 01:15:01 4.9 69 389 1.1 33
1.36 1.035 01:15:05 4.9 69 389 1.2 33
1.40 1.035 01:15:09 4.9 69 389 1.2 33
1.24 1.035 01:15:12 4.9 69 389 1.2 33
1.30 1.035 01:15:16 4.9 69 389 1.2 33
1.24 1.035 01:15:20 4.9 69 389 1.3 33
1.23 1.035 01:15:24 4.9 69 389 1.3 33
1.21 1.035 01:15:28 4.9 69 389 1.3 33
1.26 1.035 01:15:32 4.9 69 389 1.3 33
1.30 1.035 01:15:36 4.9 69 389 1.4 33
1.33 1.035 01:15:40 4.9 69 389 1.4 33
1.33 1.035 01:15:44 4.9 69 389 1.4 33
1.35 1.035 01:15:48 4.9 69 389 1.4 33
1.32 1.035 01:15:52 4.9 69 389 1.5 33
1.39 1.035 01:15:56 4.9 69 389 1.5 33
1.42 1.035 01:15:59 4.9 69 389 1.5 33
1.45 1.035 01:16:03 4.9 69 389 1.6 33
1.58 1.035 01:16:07 4.9 69 389 1.6 33
1.84 1.035 01:16:12 4.9 69 389 1.6 33
1.42 1.035 01:16:16 4.9 69 390 1.6 33
1.77 1.035 01:16:20 4.9 69 390 1.7 33
1.54 1.035 01:16:24 4.9 69 390 1.7 33
1.61 1.035 01:16:28 4.9 69 390 1.7 33
1.58 1.034 01:16:32 4.9 69 390 1.7 33
1.26 1.035 01:16:36 4.9 69 390 1.8 33
1.32 1.035 01:16:40 4.9 69 390 1.8 33
1.40 1.035 01:16:44 4.9 69 390 1.8 33
1.41 1.035 01:16:48 4.9 71 390 1.8 33
1.36 1.035 01:16:52 4.9 71 390 1.9 33
1.30 1.035 01:16:55 4.9 71 390 1.9 33
1.48 1.035 01:16:59 4.9 71 390 1.9 33
1.46 1.035 01:17:03 4.9 71 390 1.9 33
1.36 1.035 01:17:07 4.9 71 390 2.0 33
1.23 1.035 01:17:11 4.9 71 390 2.0 33
1.41 1.035 01:17:15 4.9 71 390 2.0 33
1.58 1.035 01:17:19 4.9 71 390 2.1 33
1.39 1.035 01:17:23 4.9 71 390 2.1 33
1.25 1.035 01:17:27 4.9 71 390 2.1 33
1.11 1.035 01:17:31 4.9 71 390 2.1 33
1.35 1.035 01:17:35 4.9 71 390 2.2 33
1.20 1.035 01:17:39 4.9 71 390 2.2 33
1.29 1.035 01:17:42 4.9 71 390 2.2 33
1.28 1.034 01:17:46 4.9 71 390 2.2 33
1.44 1.035 01:17:50 4.9 71 390 2.3 33
1.34 1.035 01:17:54 4.9 71 390 2.3 33
1.43 1.035 01:17:58 4.9 71 390 2.3 33
1.25 1.035 01:18:02 4.9 71 390 2.3 33
1.37 1.035 01:18:06 4.9 71 390 2.4 33
