File Time Hit_Miss  Response_Time/ns
2021022111:47:51.html 17:45:36 MISS 371242734
2021022111:47:51.html 17:45:36 HIT 118616476
2021022111:47:56.html 17:45:36 MISS 299701233
2021022111:47:56.html 17:45:36 HIT 129017797
2021022111:48:01.html 17:45:37 MISS 313486392
2021022111:48:01.html 17:45:37 HIT 127096680
2021022111:48:06.html 17:45:37 MISS 287733838
2021022111:48:06.html 17:45:37 HIT 115336089
2021022111:48:11.html 17:45:38 MISS 393820888
2021022111:48:11.html 17:45:38 HIT 120316179
2021022111:48:16.html 17:45:38 MISS 320213509
2021022111:48:16.html 17:45:38 HIT 119260117
2021022111:48:21.html 17:45:38 MISS 316356087
2021022111:48:21.html 17:45:39 HIT 116442655
2021022111:48:26.html 17:45:39 MISS 322182818
2021022111:48:26.html 17:45:39 HIT 122854721
2021022111:48:31.html 17:45:39 MISS 304872008
2021022111:48:31.html 17:45:39 HIT 140165046
2021022111:48:36.html 17:45:40 MISS 306155210
2021022111:48:36.html 17:45:40 HIT 118592582
2021022111:48:43.html 17:45:40 MISS 311168317
2021022111:48:43.html 17:45:40 HIT 131701889
2021022111:48:48.html 17:45:41 MISS 320002462
2021022111:48:48.html 17:45:41 HIT 119243667
2021022111:48:53.html 17:45:41 MISS 281023499
2021022111:48:53.html 17:45:41 HIT 110702734
2021022111:48:58.html 17:45:41 MISS 295317696
2021022111:48:58.html 17:45:42 HIT 133193883
2021022111:49:03.html 17:45:42 MISS 286500187
2021022111:49:03.html 17:45:42 HIT 128508571
2021022111:49:08.html 17:45:42 MISS 279288178
2021022111:49:08.html 17:45:42 HIT 117477355
2021022111:49:13.html 17:45:43 MISS 327432790
2021022111:49:13.html 17:45:43 HIT 130463812
2021022111:49:18.html 17:45:43 MISS 257674932
2021022111:49:18.html 17:45:43 HIT 139720650
2021022111:49:23.html 17:45:44 MISS 321984806
2021022111:49:23.html 17:45:44 HIT 120308685
2021022111:49:28.html 17:45:44 MISS 244996244
2021022111:49:28.html 17:45:44 HIT 117213057
2021022111:49:33.html 17:45:44 MISS 305903466
2021022111:49:33.html 17:45:45 HIT 108436505
2021022111:49:38.html 17:45:45 MISS 134423203
2021022111:49:38.html 17:45:45 HIT 110999841
2021022111:49:43.html 17:45:45 MISS 214856074
2021022111:49:43.html 17:45:45 HIT 121819682
2021022111:49:48.html 17:45:45 MISS 321669782
2021022111:49:48.html 17:45:46 HIT 134039347
2021022111:49:53.html 17:45:46 MISS 314559572
2021022111:49:53.html 17:45:46 HIT 115578552
2021022111:49:58.html 17:45:46 MISS 308546523
2021022111:49:58.html 17:45:47 HIT 128103828
2021022111:50:03.html 17:45:47 MISS 160071241
2021022111:50:03.html 17:45:47 HIT 149901503
2021022111:50:08.html 17:45:47 MISS 243071492
2021022111:50:08.html 17:45:47 HIT 122913045
2021022111:50:13.html 17:45:47 MISS 286388769
2021022111:50:13.html 17:45:48 HIT 123494956
