Time Cache_Disk_Usage/mb Cache_Memory_Usage/kb CPU_Usage Squid_Memory_Usage/kb
14:39:02 17 332 221 0.63 660272
14:39:23 17 536 221 0.59 661328
14:39:44 17 744 221 0.56 662384
14:40:04 17 788 222 0.51 663440
14:40:22 17 788 222 0.47 663440
14:40:40 17 788 222 0.43 663440
14:40:59 17 788 222 0.40 663440
14:41:19 17 788 222 0.38 663440
14:41:37 17 788 222 0.35 663440
14:41:57 17 800 222 0.34 663440
14:42:31 17 992 222 0.31 664496
14:43:18 17 1200 222 0.30 665536
14:44:04 17 1384 222 0.28 666592
14:44:51 17 1584 222 0.27 668704
14:45:43 17 1816 222 0.26 669760
14:46:45 17 2084 222 0.25 671872
14:50:07 17 2584 222 0.29 673984
14:51:08 17 2832 222 0.28 676096
14:52:19 17 3080 222 0.27 677152
14:53:21 17 3324 222 0.27 679264
14:54:19 17 3512 222 0.26 680320
14:55:30 17 4000 222 0.26 683488
14:57:43 18 4432 223 0.25 685600
14:58:38 18 4660 223 0.25 687696
14:59:31 18 4980 223 0.25 689808
15:01:14 18 5472 223 0.24 692608
15:02:37 18 5620 223 0.24 693664
15:03:03 18 5744 223 0.24 694720
15:03:28 18 5856 223 0.24 694720
15:03:53 18 5968 223 0.24 695776
15:04:17 18 6072 223 0.24 695776
15:04:39 18 6176 223 0.24 696832
15:05:02 18 6288 223 0.24 697888
15:05:25 18 6392 223 0.24 697888
15:05:48 18 6500 223 0.24 699136
15:06:11 18 6604 223 0.24 699136
15:06:35 18 6716 223 0.24 700176
15:06:59 18 6836 224 0.23 701232
15:07:24 18 6948 224 0.23 701232
15:07:50 18 7068 224 0.23 702288
15:08:15 18 7184 224 0.23 703344
15:08:40 18 7300 224 0.23 704400
15:09:06 18 7420 224 0.23 704400
15:09:30 18 7532 224 0.23 705456
15:09:53 18 7640 224 0.23 706512
15:10:16 19 7748 224 0.23 706512
15:10:41 19 7864 224 0.23 707568
15:11:05 19 7980 224 0.23 708624
15:11:34 19 8092 224 0.23 708624
15:11:58 19 8112 224 0.23 708624
15:12:25 19 8108 224 0.23 708624
15:12:50 19 8108 224 0.23 708624
15:13:16 19 8108 224 0.23 709680
15:13:43 19 8108 224 0.23 709680
15:14:11 19 8108 224 0.22 709680
15:14:39 19 8108 224 0.22 709680
15:15:03 19 8108 224 0.22 709680
15:15:28 19 8112 224 0.22 709680
15:15:52 19 8112 224 0.22 709680
15:16:16 19 8108 224 0.22 709680
15:16:40 19 8108 224 0.22 709680
15:17:05 19 8108 224 0.22 709680
15:17:30 19 8108 224 0.22 709680
15:17:55 19 8108 225 0.22 709680
15:18:19 19 8112 225 0.22 709680
15:18:43 19 8108 225 0.22 709680
15:19:07 19 8108 225 0.22 709680
15:19:31 19 8108 225 0.22 709680
15:19:54 19 8112 225 0.22 709680
15:20:18 19 8108 225 0.22 709680
15:20:42 19 8108 225 0.22 709680
15:21:08 19 8108 225 0.22 709680
15:21:32 19 8112 225 0.22 709680
15:21:59 19 8108 225 0.22 709680
15:22:27 19 8108 225 0.22 709680
15:22:54 19 8112 225 0.22 709680
15:23:20 19 8108 225 0.22 709680
15:23:46 20 8108 225 0.22 709680
15:24:14 20 8108 225 0.22 709680
15:24:40 20 8108 225 0.22 709680
15:25:12 20 8108 225 0.22 709680
15:25:43 20 8108 225 0.22 709680
15:26:11 20 8112 225 0.22 709680
15:26:40 20 8108 225 0.22 709680
15:27:14 20 8108 225 0.22 709680
15:27:44 20 8108 225 0.22 710736
15:28:14 20 8112 225 0.22 710736
15:28:44 20 8108 225 0.22 710736
15:29:14 20 8108 226 0.22 710736
15:30:04 20 8108 226 0.22 710736
15:30:43 20 8108 226 0.22 710736
15:31:17 20 8108 226 0.22 710736
15:31:46 20 8108 226 0.22 710736
15:32:17 20 8108 226 0.22 710736
15:32:51 20 8108 226 0.22 710736
15:35:08 20 8108 226 0.22 710736
15:35:42 20 8108 226 0.22 710736
15:36:20 20 8108 226 0.22 710736
15:36:55 20 8112 226 0.22 710736
15:37:30 20 8108 226 0.22 710736
15:38:01 20 8108 226 0.22 710736
15:38:31 20 8108 226 0.22 710736
15:39:01 20 8108 226 0.22 710736
15:39:32 21 8112 226 0.22 710736
15:40:01 21 8112 226 0.22 710736
15:40:31 21 8108 226 0.22 710736
15:41:03 21 8108 226 0.22 710736
15:41:33 21 8108 226 0.22 710736
15:42:05 21 8108 227 0.22 710736
15:42:34 21 8108 227 0.22 710736
15:43:12 21 8108 227 0.22 710736
15:43:46 21 8108 227 0.22 710736
15:44:15 21 8108 227 0.22 710736
15:44:47 21 8108 227 0.22 710736
15:45:17 21 8108 227 0.22 710736
15:45:56 21 8112 227 0.22 710736
15:46:25 21 8108 227 0.22 710736
15:46:53 21 8108 227 0.22 710736
15:47:23 21 8108 227 0.22 710736
15:47:52 21 8108 227 0.22 710736
15:48:24 21 8108 227 0.22 710736
15:48:58 21 8108 227 0.22 711792
15:49:31 21 8112 227 0.22 711792
15:50:03 21 8108 227 0.22 711792
15:50:35 21 8108 227 0.22 711792
15:51:08 21 8108 227 0.22 711792
15:51:38 21 8108 227 0.22 711792
15:52:08 21 8108 227 0.22 711792
15:52:40 21 8108 227 0.22 711792
15:53:09 21 8108 228 0.22 711792
15:53:40 22 8108 228 0.22 711792
15:54:09 22 8108 228 0.22 711792
15:54:39 22 8108 228 0.22 711792
15:55:09 22 8108 228 0.22 711792
15:55:39 22 8108 228 0.22 711792
15:56:08 22 8108 228 0.22 711792
15:56:38 22 8108 228 0.22 711792
15:57:10 22 8108 228 0.22 711792
15:57:41 22 8112 228 0.22 711792
15:58:10 22 8108 228 0.22 711792
15:58:41 22 8108 228 0.22 711792
15:59:11 22 8108 228 0.22 712384
15:59:40 22 8108 228 0.22 712384
16:00:11 22 8108 228 0.22 712384
16:00:40 22 8108 228 0.22 712384
16:01:12 22 8112 228 0.22 712384
16:01:42 22 8108 228 0.22 712384
16:02:13 22 8108 228 0.22 712384
16:03:07 22 8108 228 0.22 712384
16:03:37 22 8108 228 0.22 712384
16:04:06 22 8108 229 0.21 712384
16:04:36 22 8108 229 0.21 712384
16:05:05 22 8108 229 0.21 712384
16:05:36 22 8108 229 0.21 712384
16:06:08 22 8108 229 0.21 712384
16:06:40 22 8108 229 0.21 712384
16:07:17 22 8112 229 0.21 712384
16:07:49 23 8108 229 0.21 712384
16:08:23 23 8108 229 0.21 712384
16:08:59 23 8108 229 0.21 712384
16:09:34 23 8108 229 0.21 712384
16:10:07 23 8108 229 0.21 712384
16:10:39 23 8108 229 0.21 712384
16:11:13 23 8108 229 0.21 712384
16:11:48 23 8112 229 0.21 712384
16:12:21 23 8108 229 0.21 712384
16:12:54 23 8108 229 0.21 712384
16:13:26 23 8108 229 0.21 712384
16:14:01 23 8108 229 0.21 712384
16:14:34 23 8108 229 0.21 712384
16:15:06 23 8108 230 0.21 712384
16:15:40 23 8108 230 0.21 712384
16:16:15 23 8108 230 0.21 712384
16:16:50 23 8108 230 0.21 712384
16:17:24 23 8108 230 0.21 712384
16:18:00 23 8108 230 0.21 712384
16:18:36 23 8108 230 0.21 713424
16:19:12 23 8108 230 0.21 713424
16:19:46 23 8112 230 0.21 713424
16:20:22 23 8108 230 0.21 713424
16:20:57 23 8112 230 0.21 713424
16:21:33 24 8108 230 0.21 713424
16:22:08 24 8108 230 0.21 713424
16:22:45 24 8108 230 0.21 713424
16:23:21 24 8108 230 0.21 713424
16:24:08 24 8108 230 0.21 713424
16:24:56 24 8112 230 0.21 713424
16:25:37 24 8108 230 0.21 713424
