Time,Cache Disk/mb,Cache Memory/kb,Hit/miss,Response Time/ns,Ingestion Rate/s,File_name,Data_time/s,Disk Usage/MB,CPU Utilization,Squid Memory/KB,Total Time/s
14:39:02,17,332,MISS,133736487,5,2021022111:48:01.html,1,221,0.63,660272,1
14:39:23,17,536,MISS,130594997,5,2021022111:52:18.html,22,221,0.59,661328,22
14:39:44,17,744,HIT,115846540,5,2021022111:56:33.html,43,221,0.56,662384,43
14:40:04,17,788,HIT,114257962,3,2021022111:47:56.html,63,222,0.51,663440,63
14:40:22,17,788,HIT,119286091,2,2021022111:49:43.html,81,222,0.47,663440,81
14:40:40,17,788,HIT,130627783,2,2021022111:51:28.html,99,222,0.43,663440,99
14:40:59,17,788,HIT,129797208,3,2021022111:53:18.html,118,222,0.4,663440,118
14:41:19,17,788,HIT,117397964,2,2021022111:55:18.html,138,222,0.38,663440,138
14:41:37,17,788,HIT,127750223,3,2021022111:57:03.html,156,222,0.35,663440,156
14:41:57,17,800,HIT,110980262,2,2021021819:33:55.html,176,222,0.34,663440,176
14:42:31,17,992,MISS,230268755,2,2021021819:37:01.html,210,222,0.31,664496,210
14:43:18,17,1200,HIT,103007899,2,2021021819:41:11.html,257,222,0.3,665536,257
14:44:04,17,1384,MISS,253208453,2,2021021819:45:06.html,303,222,0.28,666592,303
14:44:51,17,1584,MISS,316300837,2,2021021819:49:06.html,350,222,0.27,668704,350
14:45:43,17,1816,MISS,287327522,2,2021021819:53:26.html,402,222,0.26,669760,402
14:46:45,17,2084,HIT,103538176,2,2021021819:58:27.html,464,222,0.25,671872,464
14:50:07,17,2584,HIT,97471376,2,2021021820:09:37.html,666,222,0.29,673984,666
14:51:08,17,2832,MISS,355112773,2,2021021820:14:28.html,727,222,0.28,676096,727
14:52:19,17,3080,HIT,114035209,2,2021021820:19:53.html,798,222,0.27,677152,798
14:53:21,17,3324,HIT,97299691,2,2021021820:24:54.html,860,222,0.27,679264,860
14:54:19,17,3512,MISS,313358080,2,2021021820:29:24.html,918,222,0.26,680320,918
14:55:30,17,4000,HIT,118132269,2,2021021820:35:41.html,989,222,0.26,683488,989
