Time,CPU Usage (%),Hit_Miss,Squid_Memory_Usage(kb),Request_Rate/(Min),Squid_Disk_Usage(mb),Cache_Memory_Usage(kb),Cache_Disk_Usage(mb),Response_Time(ms)
16:58:49,0.12,MISS,659120,1.3,222,220,17,2105
16:58:52,0.12,HIT,659120,3.2,222,220,17,1759
16:58:54,0.12,MISS,659120,5,222,224,17,1707
16:58:57,0.12,HIT,659120,6.7,222,224,17,1686
16:59:00,0.12,MISS,659120,8.5,222,228,17,1769
16:59:02,0.12,HIT,659120,10.1,222,228,17,1747
16:59:05,0.12,MISS,659120,11.8,222,232,17,1748
16:59:08,0.12,HIT,659120,13.4,222,232,17,1720
16:59:11,0.12,MISS,659120,14.9,222,236,17,1739
16:59:13,0.12,HIT,659120,16.4,222,236,17,1701
16:59:16,0.12,MISS,659120,17.9,222,240,17,1762
16:59:19,0.12,HIT,659120,19.3,222,240,17,1763
16:59:22,0.12,MISS,659120,20.7,222,244,17,1694
16:59:24,0.12,HIT,659120,22.1,222,244,17,1669
16:59:27,0.12,MISS,659120,23.4,222,248,17,1747
16:59:30,0.12,HIT,659120,24.7,222,248,17,1715
16:59:33,0.12,MISS,659120,26,222,252,17,1745
16:59:35,0.12,HIT,659120,27.2,222,252,17,1737
16:59:38,0.12,MISS,659120,28.4,222,256,17,1716
16:59:41,0.12,HIT,659120,29.6,222,256,17,1706
16:59:43,0.12,MISS,659120,30.7,222,260,17,1766
16:59:46,0.12,HIT,659120,31.9,222,260,17,1750
16:59:49,0.12,MISS,659712,33,222,264,17,1726
16:59:52,0.12,HIT,659712,34,222,264,17,1700
16:59:54,0.12,MISS,659712,35.1,222,268,17,1751
16:59:57,0.12,HIT,659712,36.1,222,268,17,1692
17:00:00,0.12,MISS,659712,37.1,222,272,17,1708
17:00:03,0.12,HIT,659712,38.1,222,272,17,1832
17:00:05,0.12,MISS,659712,39.1,222,276,17,1773
17:00:08,0.12,HIT,659712,40,222,276,17,1698
17:00:11,0.12,MISS,659712,41,222,280,17,1730
17:00:14,0.12,HIT,659712,41.9,222,280,17,1790
17:00:16,0.12,MISS,659712,42.8,222,284,17,1732
17:00:19,0.12,HIT,659712,43.6,222,284,17,1725
