Time,CPU Usage (%),Hit_Miss,Squid_Memory_Usage(kb),Request_Rate/(Min),Response_Time(ms),Squid_Disk_Usage(mb),Cache_Disk_Usage(mb),Cache_Memory_Usage(kb)
2:05:51,0.03,MISS,658752,0.4,2207,222,17,224
2:05:57,0.03,MISS,658752,0.8,1754,222,17,228
2:06:02,0.03,MISS,658752,1.2,1735,222,17,232
2:06:07,0.03,MISS,658752,1.6,1769,222,17,236
2:06:12,0.03,MISS,658752,1.9,1710,222,17,240
2:06:18,0.03,MISS,658752,2.3,1774,222,17,244
2:06:23,0.03,MISS,658752,2.7,1724,222,17,248
2:06:28,0.03,MISS,658752,3.1,1677,222,17,252
2:06:33,0.04,MISS,658752,3.4,1702,222,17,256
2:06:38,0.04,MISS,658752,3.8,1704,222,17,260
2:06:44,0.04,MISS,659328,4.1,1727,222,17,264
2:06:49,0.04,MISS,659328,4.5,1727,222,17,268
2:07:15,0.04,MISS,659328,6.2,1776,222,17,288
2:07:20,0.04,MISS,659328,6.5,1747,222,17,292
2:07:26,0.04,MISS,659328,6.8,1729,222,17,296
2:07:31,0.04,MISS,659328,7.2,1702,222,17,300
2:07:36,0.04,MISS,659328,7.5,1699,222,17,304
2:07:41,0.04,MISS,659328,7.8,1789,222,17,308
2:07:46,0.04,MISS,659328,8.1,1685,222,17,312
2:07:52,0.04,MISS,659328,8.4,1747,222,17,316
2:07:57,0.04,MISS,659328,8.7,1680,222,17,320
2:08:02,0.04,MISS,659328,9,1733,222,17,324
2:08:07,0.04,MISS,659728,9.3,1713,222,17,328
2:08:13,0.04,MISS,659728,9.6,1706,222,17,332
2:08:18,0.04,MISS,659728,9.9,1745,222,17,336
2:08:23,0.04,MISS,659728,10.2,1730,222,17,340
2:08:28,0.04,MISS,659728,10.5,1768,222,17,344
2:08:33,0.04,MISS,659728,10.8,1701,222,17,348
2:08:39,0.04,MISS,659728,11.1,1737,222,17,352
2:08:44,0.04,MISS,659728,11.4,1735,222,17,356
2:08:49,0.04,MISS,659728,11.6,1927,222,17,360
2:08:56,0.04,MISS,659728,11.9,2774,222,17,364
2:09:05,0.04,MISS,659728,12.1,5660,222,17,368
2:09:10,0.04,MISS,659728,12.4,1948,222,17,372
2:09:16,0.04,MISS,659728,12.7,1970,222,17,376
2:09:21,0.04,MISS,659728,12.9,2011,222,17,380
2:09:27,0.04,MISS,659728,13.2,2019,222,17,384
2:09:32,0.04,MISS,659728,13.4,1693,222,17,388
2:09:37,0.04,MISS,660032,13.7,1736,222,17,392
2:09:42,0.04,MISS,660032,13.9,1694,222,17,396
2:09:48,0.04,MISS,660032,14.2,1675,222,17,400
2:09:53,0.04,MISS,660032,14.4,1764,222,17,404
2:09:58,0.04,MISS,660032,14.7,1678,222,17,408
2:10:03,0.04,MISS,660032,14.9,1761,222,17,412
2:10:09,0.04,MISS,660032,15.2,1679,222,17,416
2:10:14,0.04,MISS,660032,15.4,1773,222,17,420
2:10:19,0.04,MISS,660032,15.7,1769,222,17,424
2:10:24,0.04,MISS,660032,15.9,1740,222,17,428
2:10:30,0.04,MISS,660032,16.1,1701,222,17,432
2:10:35,0.04,MISS,660032,16.4,1735,222,17,436
2:10:40,0.05,MISS,660032,16.6,1731,222,17,440
2:10:45,0.05,MISS,660032,16.8,1716,222,17,444
2:10:50,0.05,MISS,660032,17,1719,222,17,448
2:10:56,0.05,MISS,660032,17.3,1679,222,17,452
2:11:01,0.05,MISS,660432,17.5,1738,222,17,456
2:11:06,0.05,MISS,660432,17.7,1696,222,17,460
2:11:11,0.05,MISS,660432,17.9,1769,222,17,464
2:11:17,0.05,MISS,660432,18.1,1736,222,17,468
2:11:22,0.05,MISS,660432,18.4,1729,222,17,472
2:11:27,0.05,MISS,660432,18.6,1737,222,17,476
2:11:32,0.05,MISS,660432,18.8,1696,222,17,480
2:11:38,0.05,MISS,660432,19,1785,222,17,484
2:11:43,0.05,MISS,660432,19.2,1689,222,17,488
2:11:48,0.05,MISS,660432,19.4,1719,222,17,492
2:11:53,0.05,MISS,660432,19.6,1710,222,17,496
2:11:58,0.05,MISS,660432,19.8,1725,222,17,500
2:12:04,0.05,MISS,660432,20,1724,222,17,504
2:12:09,0.05,MISS,660432,20.2,1750,222,17,508
2:12:14,0.05,MISS,660432,20.4,1683,222,17,512
2:12:19,0.05,MISS,660432,20.6,1719,222,17,516
2:12:24,0.05,MISS,660832,20.8,1730,222,17,520
2:12:30,0.05,MISS,660832,21,1713,222,17,524
2:12:35,0.05,MISS,660832,21.2,1748,222,17,528
2:12:40,0.05,MISS,660832,21.4,1702,222,17,532
2:12:45,0.05,MISS,660832,21.6,1770,222,17,536
2:12:51,0.05,MISS,660832,21.7,1675,222,17,540
2:12:56,0.05,MISS,660832,21.9,1688,222,17,544
2:13:01,0.05,MISS,660832,22.1,1701,223,17,548
2:13:06,0.05,MISS,660832,22.3,1705,223,17,552
2:13:11,0.05,MISS,660832,22.5,1760,223,17,556
2:13:17,0.05,MISS,660832,22.7,1748,223,17,560
2:13:22,0.05,MISS,660832,22.8,1734,223,17,564
2:13:27,0.05,MISS,660832,23,1711,223,17,568
2:13:32,0.05,MISS,660832,23.2,1779,223,17,572
