Time,CPU Usage (%),Hit_Miss,Squid_Memory_Usage(kb),Request_Rate/(Min),Squid_Disk_Usage(mb),Cache_Memory_Usage(kb),Response_Time(ms)
01:41:01,0.04,MISS,660240,25.8,222,348,1575,
01:41:04,0.04,HIT,660240,25.9,222,348,1595,
01:41:07,0.04,MISS,660240,26.0,222,352,1566,
01:41:09,0.04,HIT,660240,26.1,222,352,1544,
01:41:12,0.04,MISS,660240,26.1,222,356,1579,
01:41:14,0.04,HIT,660240,26.2,222,356,1593,
01:41:17,0.04,MISS,660240,26.3,222,360,1531,
01:41:19,0.04,HIT,660240,26.4,222,360,1525,
01:41:22,0.04,MISS,660240,26.4,222,364,1560,
01:41:25,0.04,HIT,660240,26.5,222,364,1577,
01:41:27,0.04,MISS,660240,26.6,222,368,1584,
01:41:30,0.04,HIT,660240,26.7,222,368,1554,
01:41:32,0.04,MISS,660240,26.7,222,372,1568,
01:41:35,0.04,HIT,660240,26.8,222,372,1577,
01:41:37,0.04,MISS,660240,26.9,222,376,1616,
01:41:40,0.04,HIT,660240,26.9,222,376,1538,
01:41:43,0.04,MISS,660240,27.0,222,380,1564,
01:41:58,0.04,MISS,660640,27.4,222,392,1591,
01:42:01,0.04,HIT,660640,27.5,222,392,1645,
01:42:03,0.04,MISS,660640,27.6,222,396,1569,
01:42:06,0.04,HIT,660640,27.7,222,396,1532,
01:42:08,0.04,MISS,660640,27.7,222,400,1565,
01:42:11,0.04,HIT,660640,27.8,222,400,1579,
01:42:13,0.04,MISS,660640,27.9,222,404,1626,
01:42:16,0.04,HIT,660640,27.9,222,404,1568,
01:42:19,0.04,MISS,660640,28.0,222,408,1534,
01:42:21,0.04,HIT,660640,28.1,222,408,1595,
01:42:24,0.04,MISS,660640,28.2,222,412,1576,
01:42:26,0.04,HIT,660640,28.2,222,412,1591,
01:42:29,0.04,MISS,660640,28.3,222,416,1574,
01:42:31,0.04,HIT,660640,28.4,222,416,1533,
01:42:34,0.04,MISS,660640,28.4,222,420,1645,
01:42:37,0.04,HIT,660640,28.5,222,420,1596,
01:42:39,0.04,MISS,660640,28.6,222,424,1555,
01:42:42,0.04,HIT,660640,28.7,222,424,1590,
01:42:44,0.04,MISS,660640,28.7,222,428,1550,
01:42:47,0.04,HIT,660640,28.8,222,428,1577,
01:42:50,0.04,MISS,660640,28.9,222,432,1548,
01:42:52,0.04,HIT,660640,28.9,222,432,1546,
01:42:55,0.04,MISS,660640,29.0,222,436,1574,
01:42:57,0.04,HIT,660640,29.1,222,436,1600,
01:43:00,0.04,MISS,660640,29.1,222,440,1562,
01:43:02,0.04,HIT,660640,29.2,222,440,1580,
01:43:05,0.04,MISS,660640,29.3,222,444,1539,
01:43:08,0.04,HIT,660640,29.4,222,444,1567,
01:43:10,0.04,MISS,660640,29.4,222,448,1589,
01:43:13,0.04,HIT,660640,29.5,222,448,1574,
01:43:15,0.04,MISS,660640,29.6,222,452,1568,
01:43:18,0.04,HIT,660640,29.6,222,452,1544,
01:43:20,0.04,MISS,661040,29.7,222,456,1564,
