#{"t_start": 1606835205.7834709, "env_id": "wmac-graph-v1"}
r,l,t
-2190.0,10,2.525741
-2250.0,8,2.541851
-1570.0,8,2.558206
-1770.0,7,2.569109
-1830.0,7,2.579467
-1830.0,6,2.592903
-2160.0,12,2.611921
-1860.0,7,2.622528
-1740.0,7,2.637358
-1800.0,7,2.647892
-1830.0,7,2.661684
-1540,6,2.671205
-1560.0,6,2.68115
-2340.0,10,2.698359
-1860.0,9,2.715014
-2340.0,9,2.731516
-1710.0,7,2.742979
-1830.0,8,2.760861
-1740.0,6,2.770976
-2400.0,11,2.788806
-1600.0,8,2.806115
-1770,6,2.816177
-1830.0,6,2.825833
-1950.0,10,2.843027
-1950.0,10,2.860461
-1980.0,7,2.871217
-2092.0,12,2.894224
-1776.0,8,2.905693
-1800.0,8,2.921893
-1950.0,8,2.939001
-2430.0,12,2.959012
-2310.0,10,2.977375
-1920.0,9,2.993424
-1890.0,7,3.004056
-1776.0,8,3.018851
-1980.0,11,3.036668
-1986.0,8,3.051851
-1770.0,7,3.062482
-2250.0,10,3.079256
-1680.0,7,3.089833
-1920.0,9,3.107913
-2346.0,11,3.129604
-1920.0,8,3.144773
-1716.0,8,3.163437
-1710.0,7,3.174138
-1710.0,7,3.184862
-1920.0,8,3.200063
-2070.0,8,3.21469
-1980.0,8,3.227909
-1776.0,8,3.242698
-2040.0,7,3.25308
-1770.0,8,3.267937
-1986.0,9,3.283652
-2070.0,11,3.300734
-1860.0,7,3.312631
-1950.0,8,3.328098
-1690.0,7,3.338811
-1900.0,9,3.354887
-1860.0,8,3.370288
-1490.0,8,3.382037
-1746.0,9,3.398889
-1860.0,8,3.414739
-1890.0,9,3.427186
-1950.0,8,3.442188
-1770.0,8,3.457871
-1830.0,8,3.470037
-1920.0,8,3.484643
-2160.0,9,3.500377
-2310.0,11,3.517756
-2100.0,10,3.536124
-1840.0,10,3.55287
-1890,6,3.56227
-1710.0,8,3.576443
-2130.0,8,3.587806
-1740.0,7,3.60165
-2070.0,9,3.613759
-1770.0,7,3.628556
-1980.0,7,3.639407
-1860.0,8,3.654572
-2322.0,11,3.673042
-1600.0,7,3.683136
-2094.0,11,3.704242
-1920.0,7,3.714587
-1870.0,8,3.729379
-1800.0,8,3.740518
-1620.0,7,3.754197
-1710.0,7,3.764966
-2040.0,10,3.78244
-2280.0,7,3.792326
-1510,7,3.805221
-2100.0,9,3.820176
-2370.0,11,3.837277
-1950.0,8,3.848961
-1644.0,7,3.862914
-1830.0,8,3.873997
-2040.0,7,3.887845
-1740.0,7,3.898031
-1770.0,7,3.911459
-3090.0,15,3.937405
-1710.0,6,3.946977
-2100.0,9,3.96311
-2010.0,9,3.975824
-1830.0,7,3.992001
-2220.0,8,4.003944
-1800.0,9,4.020925
-1890,6,4.029676
-2520.0,12,4.051329
-1770,6,4.060905
-2490.0,12,4.079047
-2160.0,9,4.093539
-1770.0,7,4.107035
-2130.0,9,4.119387
-1920.0,9,4.135103
-1680.0,7,4.148652
-1860.0,7,4.158786
-1860.0,8,4.173329
-1980.0,10,4.189172
-2130.0,8,4.200128
-1710.0,7,4.213596
-1860.0,8,4.224126
-1950.0,7,4.238385
-1656.0,8,4.250662
-2076.0,10,4.267009
-2286.0,11,4.290767
-1950.0,8,4.306167
-1860.0,7,4.316702
-1590,6,4.331429
-1720.0,8,4.342918
-2100.0,8,4.357708
-1890.0,8,4.368589
-1680.0,6,4.381346
-1584.0,8,4.392524
-1890.0,8,4.408321
-1890.0,8,4.420861
-1710,6,4.43652
-2040.0,8,4.449047
-1740.0,8,4.464709
-1830.0,8,4.4769
-2274.0,11,4.497988
-2040.0,9,4.510223
-2010.0,6,4.522552
-1680.0,6,4.532114
-1830.0,7,4.542003
-1620.0,7,4.557225
-1890.0,8,4.567869
-2124.0,12,4.589041
-1650.0,6,4.599477
-1950.0,8,4.613142
-1950.0,8,4.628567
-1860.0,8,4.645213
-1890.0,8,4.65816
-1806.0,7,4.672791
-1800.0,8,4.68562
-2010.0,10,4.702066
-1770.0,7,4.716994
-1620.0,6,4.726792
