mean_reward,mean_ep_length,packet_lost,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-21589288.0,20002.0,0,100.96918058395386,False,,,1,c0f8dc21f45545dcb49f88e47b25edda,2020-10-22_03-45-19,1603331119,100.96918058395386,13872,aicon3,131.234.29.24,100.96918058395386,0,1,00256739,"2_gamma=0.99051,learning_rate=0.0022307,max_grad_norm=1.884"
-11996816.0,20002.0,0,95.76371502876282,False,,,2,c0f8dc21f45545dcb49f88e47b25edda,2020-10-22_03-46-55,1603331215,196.73289561271667,13872,aicon3,131.234.29.24,196.73289561271667,0,2,00256739,"2_gamma=0.99051,learning_rate=0.0022307,max_grad_norm=1.884"
-24003936.0,20002.0,3,96.78616762161255,False,,,3,c0f8dc21f45545dcb49f88e47b25edda,2020-10-22_03-48-32,1603331312,293.5190632343292,13872,aicon3,131.234.29.24,293.5190632343292,0,3,00256739,"2_gamma=0.99051,learning_rate=0.0022307,max_grad_norm=1.884"
-28786452.0,20002.0,10,96.69652771949768,False,,,4,c0f8dc21f45545dcb49f88e47b25edda,2020-10-22_03-50-09,1603331409,390.2155909538269,13872,aicon3,131.234.29.24,390.2155909538269,0,4,00256739,"2_gamma=0.99051,learning_rate=0.0022307,max_grad_norm=1.884"
-55206360.0,20002.0,30,97.09850239753723,False,,,5,c0f8dc21f45545dcb49f88e47b25edda,2020-10-22_03-51-46,1603331506,487.31409335136414,13872,aicon3,131.234.29.24,487.31409335136414,0,5,00256739,"2_gamma=0.99051,learning_rate=0.0022307,max_grad_norm=1.884"
-26397860.0,20002.0,41,97.10152387619019,False,,,6,c0f8dc21f45545dcb49f88e47b25edda,2020-10-22_03-53-23,1603331603,584.4156172275543,13872,aicon3,131.234.29.24,584.4156172275543,0,6,00256739,"2_gamma=0.99051,learning_rate=0.0022307,max_grad_norm=1.884"
-16795196.0,20002.0,0,97.34204435348511,False,,,7,c0f8dc21f45545dcb49f88e47b25edda,2020-10-22_03-55-00,1603331700,681.7576615810394,13872,aicon3,131.234.29.24,681.7576615810394,0,7,00256739,"2_gamma=0.99051,learning_rate=0.0022307,max_grad_norm=1.884"
-38390208.0,20002.0,20,97.86923480033875,False,,,8,c0f8dc21f45545dcb49f88e47b25edda,2020-10-22_03-56-38,1603331798,779.6268963813782,13872,aicon3,131.234.29.24,779.6268963813782,0,8,00256739,"2_gamma=0.99051,learning_rate=0.0022307,max_grad_norm=1.884"
-11975536.0,20002.0,1,96.66598320007324,False,,,9,c0f8dc21f45545dcb49f88e47b25edda,2020-10-22_03-58-15,1603331895,876.2928795814514,13872,aicon3,131.234.29.24,876.2928795814514,0,9,00256739,"2_gamma=0.99051,learning_rate=0.0022307,max_grad_norm=1.884"
-45593040.0,20002.0,10,97.39108991622925,True,,,10,c0f8dc21f45545dcb49f88e47b25edda,2020-10-22_03-59-52,1603331992,973.6839694976807,13872,aicon3,131.234.29.24,973.6839694976807,0,10,00256739,"2_gamma=0.99051,learning_rate=0.0022307,max_grad_norm=1.884"
