mean_reward,mean_ep_length,packet_lost,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-12002652.0,20002.0,0,104.03030323982239,False,,,1,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-01-39,1603332099,104.03030323982239,13879,aicon3,131.234.29.24,104.03030323982239,0,1,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-23990560.0,20002.0,31,101.62825798988342,False,,,2,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-03-21,1603332201,205.6585612297058,13879,aicon3,131.234.29.24,205.6585612297058,0,2,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-38395040.0,20002.0,12,100.77470064163208,False,,,3,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-05-02,1603332302,306.4332618713379,13879,aicon3,131.234.29.24,306.4332618713379,0,3,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-31185160.0,20002.0,10,100.40013241767883,False,,,4,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-06-42,1603332402,406.8333942890167,13879,aicon3,131.234.29.24,406.8333942890167,0,4,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-36001804.0,20002.0,34,100.60441255569458,False,,,5,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-08-23,1603332503,507.4378068447113,13879,aicon3,131.234.29.24,507.4378068447113,0,5,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-28796988.0,20002.0,22,100.59445810317993,False,,,6,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-10-03,1603332603,608.0322649478912,13879,aicon3,131.234.29.24,608.0322649478912,0,6,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-31206044.0,20002.0,13,100.26395559310913,False,,,7,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-11-43,1603332703,708.2962205410004,13879,aicon3,131.234.29.24,708.2962205410004,0,7,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-57602004.0,20002.0,10,103.19576692581177,False,,,8,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-13-27,1603332807,811.4919874668121,13879,aicon3,131.234.29.24,811.4919874668121,0,8,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-11997240.0,20002.0,0,102.76551270484924,False,,,9,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-15-09,1603332909,914.2575001716614,13879,aicon3,131.234.29.24,914.2575001716614,0,9,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-12001432.0,20002.0,15,102.26150178909302,False,,,10,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-16-52,1603333012,1016.5190019607544,13879,aicon3,131.234.29.24,1016.5190019607544,0,10,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-11982256.0,20002.0,0,101.64535713195801,False,,,11,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-18-33,1603333113,1118.1643590927124,13879,aicon3,131.234.29.24,1118.1643590927124,0,11,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-11978632.0,20002.0,0,101.3629035949707,False,,,12,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-20-15,1603333215,1219.527262687683,13879,aicon3,131.234.29.24,1219.527262687683,0,12,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-48005348.0,20002.0,34,102.4562315940857,False,,,13,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-21-57,1603333317,1321.9834942817688,13879,aicon3,131.234.29.24,1321.9834942817688,0,13,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-72006120.0,20002.0,40,103.70995759963989,False,,,14,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-23-41,1603333421,1425.6934518814087,13879,aicon3,131.234.29.24,1425.6934518814087,0,14,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-21587276.0,20002.0,10,102.42842054367065,False,,,15,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-25-23,1603333523,1528.1218724250793,13879,aicon3,131.234.29.24,1528.1218724250793,0,15,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-40795220.0,20002.0,30,101.36198687553406,False,,,16,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-27-05,1603333625,1629.4838593006134,13879,aicon3,131.234.29.24,1629.4838593006134,0,16,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-40798216.0,20002.0,29,103.15344500541687,False,,,17,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-28-48,1603333728,1732.6373043060303,13879,aicon3,131.234.29.24,1732.6373043060303,0,17,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-45601824.0,20002.0,29,102.18825626373291,False,,,18,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-30-30,1603333830,1834.8255605697632,13879,aicon3,131.234.29.24,1834.8255605697632,0,18,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-43205040.0,20002.0,20,102.38871455192566,False,,,19,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-32-12,1603333932,1937.2142751216888,13879,aicon3,131.234.29.24,1937.2142751216888,0,19,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-47986808.0,20002.0,10,102.0987389087677,False,,,20,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-33-54,1603334034,2039.3130140304565,13879,aicon3,131.234.29.24,2039.3130140304565,0,20,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-11981468.0,20002.0,0,101.49215531349182,False,,,21,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-35-36,1603334136,2140.8051693439484,13879,aicon3,131.234.29.24,2140.8051693439484,0,21,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-11974108.0,20002.0,2,99.84542679786682,False,,,22,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-37-16,1603334236,2240.650596141815,13879,aicon3,131.234.29.24,2240.650596141815,0,22,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-52797264.0,20002.0,11,100.07913637161255,False,,,23,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-38-56,1603334336,2340.7297325134277,13879,aicon3,131.234.29.24,2340.7297325134277,0,23,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-40792844.0,20002.0,18,100.72380781173706,False,,,24,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-40-37,1603334437,2441.453540325165,13879,aicon3,131.234.29.24,2441.453540325165,0,24,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-21668100.0,12018.0,4,66.84129762649536,False,,,25,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-41-43,1603334503,2508.29483795166,13879,aicon3,131.234.29.24,2508.29483795166,0,25,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-23991988.0,20002.0,0,100.27286195755005,False,,,26,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-43-24,1603334604,2608.56769990921,13879,aicon3,131.234.29.24,2608.56769990921,0,26,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-11991324.0,20002.0,0,99.46409511566162,False,,,27,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-45-03,1603334703,2708.031795024872,13879,aicon3,131.234.29.24,2708.031795024872,0,27,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-12006688.0,20002.0,22,99.88061952590942,False,,,28,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-46-43,1603334803,2807.9124145507812,13879,aicon3,131.234.29.24,2807.9124145507812,0,28,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-11994668.0,20002.0,0,100.74011158943176,False,,,29,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-48-24,1603334904,2908.652526140213,13879,aicon3,131.234.29.24,2908.652526140213,0,29,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
-19198968.0,20002.0,0,101.9902777671814,True,,,30,30bcdbd4984b4563a2f72046e633b0bf,2020-10-22_04-50-06,1603335006,3010.6428039073944,13879,aicon3,131.234.29.24,3010.6428039073944,0,30,0025673a,"3_gamma=0.99877,learning_rate=0.0028993,max_grad_norm=3.4867"
