mean_reward,mean_ep_length,packet_lost,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-12000840.0,20002.0,0,103.3700098991394,False,,,1,2b6b02e36852448b879fc46551e9d46b,2020-10-22_04-51-09,1603335069,103.3700098991394,13842,aicon3,131.234.29.24,103.3700098991394,0,1,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-11994820.0,20002.0,0,97.58492422103882,False,,,2,2b6b02e36852448b879fc46551e9d46b,2020-10-22_04-52-46,1603335166,200.95493412017822,13842,aicon3,131.234.29.24,200.95493412017822,0,2,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-11984868.0,20002.0,0,96.74254965782166,False,,,3,2b6b02e36852448b879fc46551e9d46b,2020-10-22_04-54-23,1603335263,297.6974837779999,13842,aicon3,131.234.29.24,297.6974837779999,0,3,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-14105268.0,20002.0,15,96.95428776741028,False,,,4,2b6b02e36852448b879fc46551e9d46b,2020-10-22_04-56-00,1603335360,394.65177154541016,13842,aicon3,131.234.29.24,394.65177154541016,0,4,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-11987732.0,20002.0,4,96.08161091804504,False,,,5,2b6b02e36852448b879fc46551e9d46b,2020-10-22_04-57-36,1603335456,490.7333824634552,13842,aicon3,131.234.29.24,490.7333824634552,0,5,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-14325868.0,20002.0,1,95.7461998462677,False,,,6,2b6b02e36852448b879fc46551e9d46b,2020-10-22_04-59-12,1603335552,586.4795823097229,13842,aicon3,131.234.29.24,586.4795823097229,0,6,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-2268198.0,12025.0,10,65.22377157211304,False,,,7,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-00-17,1603335617,651.7033538818359,13842,aicon3,131.234.29.24,651.7033538818359,0,7,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-9507088.0,16011.6,22,80.98896098136902,False,,,8,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-01-38,1603335698,732.692314863205,13842,aicon3,131.234.29.24,732.692314863205,0,8,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
161990.0,40.8,26,15.656378269195557,False,,,9,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-01-53,1603335713,748.3486931324005,13842,aicon3,131.234.29.24,748.3486931324005,0,9,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-2241036.0,4038.8,13,31.820157051086426,False,,,10,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-02-25,1603335745,780.1688501834869,13842,aicon3,131.234.29.24,780.1688501834869,0,10,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
